Game_ID,Area_ID,Hour,Fr_Score,V_Score,Fl_Score,Item_used,Fruit,Vegetable,Flower
1,1,1,70,70,20,,7,7,2
1,3,2,80,50,10,,8,5,1
1,4,3,0,190,150,Aloe,0,7,7
1,4,4,110,50,380,Aloe,3,5,10
1,4,5,250,120,90,Hemlock|Aloe|Hemlock|Hemlock|Hura|Guarana,9,4,5
1,4,6,90,150,290,Hura|Hura,5,3,9
1,4,7,170,230,90,Guarana|Hura,5,7,5
1,4,8,70,320,60,Hura|Hemlock|Hemlock,3,8,2
1,4,9,120,140,190,Aloe|Hura|Aloe,4,6,7
1,4,10,50,170,290,Aloe|Hemlock|Hura,1,5,9
1,4,11,220,80,290,,6,4,9
1,4,12,120,70,300,Guarana,4,3,10
2,4,1,90,70,70,,5,3,3
2,4,2,260,310,70,Hura|Hura|Hura,6,7,3
2,4,3,140,180,160,Hemlock|Hemlock|Guarana|Hemlock|Hura,6,6,4
2,4,4,230,120,230,Hemlock|Aloe|Hemlock,7,4,7
2,2,5,110,250,30,Guarana|Hura,7,9,3
2,2,6,160,120,80,Hura|Guarana|Hura|Guarana|Aloe,8,4,4
2,2,7,30,40,200,Hemlock,3,4,8
2,4,8,190,10,60,Guarana|Hura|Guarana,7,1,6
2,4,9,120,60,110,Hemlock|Hemlock|Aloe|Hura|Aloe|Aloe|Aloe,4,2,7
2,4,10,220,200,100,Guarana|Guarana|Aloe,6,8,6
2,4,11,260,50,70,Hemlock|Hura|Hura|Hemlock|Guarana|Hemlock,6,1,7
2,4,12,170,210,80,Aloe|Hemlock|Aloe|Aloe|Hura,5,5,4
3,4,1,110,80,50,,3,4,5
3,4,2,230,70,230,Hemlock|Hura,7,3,7
3,4,3,170,250,260,Guarana,5,9,6
3,2,4,80,120,40,Guarana|Hura|Aloe,4,4,4
3,2,5,130,140,70,Hura|Hura|Guarana|Aloe,5,6,7
3,2,6,40,130,90,Hura|Hura|Hemlock|Hemlock|Aloe,4,5,5
3,2,7,120,40,120,Hemlock|Hura,4,4,8
3,4,8,140,190,220,Guarana|Hura|Aloe|Hemlock,6,7,6
3,2,9,80,80,170,Hura|Hemlock|Hemlock,4,4,9
3,1,10,90,120,20,Hemlock|Hemlock|Guarana,5,8,2
3,1,11,70,80,40,,7,8,4
3,1,12,30,30,0,,3,3,0
4,2,1,30,110,40,,3,7,4
4,4,2,110,100,130,Hemlock,3,6,5
4,2,3,350,220,230,Hura|Hura|Hemlock|Guarana,7,6,7
4,4,4,270,160,160,Aloe|Hemlock|Aloe,7,4,4
4,2,5,240,130,70,Hemlock|Hemlock|Hura|Aloe,8,5,3
4,2,6,100,100,120,Guarana|Guarana|Aloe|Hemlock,6,6,4
4,4,7,10,200,270,Aloe|Aloe|Hemlock|Aloe|Hura|Guarana,1,8,7
4,4,8,140,110,70,Hura|Hemlock|Aloe|Aloe|Guarana|Aloe,6,3,3
4,4,9,270,130,180,Guarana|Guarana|Guarana,7,5,6
4,4,10,200,80,490,Aloe|Hemlock,4,4,13
4,2,11,340,10,70,Guarana|Hura|Aloe|Aloe,10,1,3
4,2,12,30,140,110,Guarana|Aloe,3,6,7
5,4,1,30,60,70,Aloe|Hura|Aloe,3,2,3
5,4,2,160,80,210,Hura|Hura|Guarana|Aloe,4,4,9
6,3,1,0,0,30,,0,0,3
6,4,2,0,0,0,Aloe,0,0,0
6,4,3,10,0,160,Hura|Aloe,1,0,4
6,4,4,100,200,0,,2,4,0
6,4,5,60,20,0,Hemlock|Hura,2,2,0
6,4,6,50,110,120,Hemlock,1,3,4
7,1,1,30,50,10,,3,5,1
7,4,2,160,50,110,Hemlock|Guarana,4,1,3
7,4,3,80,140,110,Guarana,4,6,3
7,4,4,40,60,150,Hemlock|Aloe|Hemlock,4,2,7
7,4,5,250,270,100,Hemlock|Hemlock|Aloe|Hemlock,9,7,6
7,4,6,210,10,170,Hemlock,5,1,5
7,4,7,130,140,220,Hemlock|Guarana,5,6,6
7,4,8,80,10,370,Hura|Hura|Hura,4,1,9
7,4,9,280,20,240,Aloe|Aloe|Guarana,8,2,8
7,4,10,150,230,260,Guarana|Guarana|Aloe,7,7,6
7,4,11,120,130,220,Hura|Guarana,4,5,6
7,4,12,130,210,170,,5,5,5
8,4,1,30,0,0,Hemlock,3,0,0
8,4,2,80,20,210,,4,2,5
8,4,3,80,140,280,,8,6,8
8,4,4,180,160,180,Aloe,6,4,6
8,4,5,60,70,180,Aloe,2,3,6
8,4,6,10,170,330,Aloe,1,5,9
8,4,7,0,60,130,Aloe,0,2,5
8,4,8,60,50,60,Hura|Hemlock,2,1,2
8,4,9,110,10,260,Guarana|Hemlock,3,1,6
8,4,10,180,10,60,Hemlock,6,1,2
8,4,11,200,120,160,Guarana|Guarana,4,4,8
8,4,12,60,100,190,Hura|Hemlock,2,2,7
9,4,1,30,30,10,,3,3,1
9,4,2,120,0,120,Hura,4,0,4
9,4,3,50,150,190,Guarana|Hura,1,3,7
9,4,4,150,70,130,,7,3,5
9,4,5,10,10,90,Hemlock|Hura,1,1,5
9,4,6,90,100,160,Guarana|Guarana|Guarana,5,2,4
9,4,7,70,20,120,Guarana|Aloe,3,2,4
9,4,8,70,310,60,Guarana|Aloe,3,7,2
9,4,9,0,0,0,Hura,0,0,0
9,4,10,170,120,140,,5,4,10
9,4,11,260,80,120,Hemlock,6,4,4
9,4,12,60,90,160,Hemlock,2,5,8
10,1,1,50,50,20,,5,5,2
10,3,2,20,70,40,Hura,2,3,4
10,2,3,50,20,60,,1,2,2
10,2,4,30,120,10,Hemlock,3,4,1
10,2,5,0,50,120,Aloe,0,5,4
10,4,6,90,160,170,Hemlock|Guarana,5,4,5
10,4,7,110,30,10,,3,3,1
10,4,8,180,10,170,Hemlock|Guarana|Hura,6,1,5
10,4,9,30,210,170,,3,5,5
10,4,10,100,50,60,,2,1,2
10,4,11,100,110,30,Hura|Aloe|Aloe,2,3,3
10,4,12,140,100,160,,6,2,4
